timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1776112558795,200,-108,-2.3730468750000002E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558796,200,-171,-3.75732421875E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558815,200,-589,-1.294189453125E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558816,200,-565,-1.241455078125E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558816,200,-545,-1.197509765625E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558816,200,-525,-1.153564453125E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558816,200,-514,-1.12939453125E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558817,200,-244,-5.361328125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558817,200,-233,-5.1196289062500006E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558817,200,-221,-4.85595703125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558817,200,-213,-4.68017578125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558817,200,-202,-4.4384765625000004E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558831,200,-194,-4.2626953125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558832,200,-184,-4.04296875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558832,200,-177,-3.8891601562500006E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558832,200,-168,-3.691406250000001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558832,200,-161,-3.53759765625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558832,200,-152,-3.33984375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
